step,timestamp,train_loss,val_loss
0,2025-08-07 18:41:32,11.020433,11.031603
1,2025-08-07 18:41:41,10.972412,
2,2025-08-07 18:41:51,10.862483,
3,2025-08-07 18:42:01,10.762670,
4,2025-08-07 18:42:11,10.632360,
5,2025-08-07 18:42:21,10.504035,
6,2025-08-07 18:42:31,10.405343,
7,2025-08-07 18:42:41,10.347999,
8,2025-08-07 18:42:51,10.314100,
9,2025-08-07 18:43:01,10.134432,
10,2025-08-07 18:43:11,10.090398,
11,2025-08-07 18:43:21,10.153567,
12,2025-08-07 18:43:31,10.082769,
13,2025-08-07 18:43:41,9.993514,
14,2025-08-07 18:43:51,9.948949,
15,2025-08-07 18:44:02,9.972281,
16,2025-08-07 18:44:12,9.939842,
17,2025-08-07 18:44:22,9.943587,
18,2025-08-07 18:44:31,9.893885,
19,2025-08-07 18:44:41,9.838637,
20,2025-08-07 18:44:52,9.823381,
21,2025-08-07 18:45:02,9.830007,
22,2025-08-07 18:45:11,9.853437,
23,2025-08-07 18:45:21,9.851705,
24,2025-08-07 18:45:31,9.739987,
25,2025-08-07 18:45:42,9.768043,
26,2025-08-07 18:45:52,9.670193,
27,2025-08-07 18:46:02,9.494015,
28,2025-08-07 18:46:12,9.448061,
29,2025-08-07 18:46:22,9.512220,
30,2025-08-07 18:46:32,9.623116,
31,2025-08-07 18:46:42,9.385166,
32,2025-08-07 18:46:52,9.444103,
33,2025-08-07 18:47:02,9.390706,
34,2025-08-07 18:47:12,9.286684,
35,2025-08-07 18:47:22,9.280813,
36,2025-08-07 18:47:32,9.291420,
37,2025-08-07 18:47:42,9.151320,
38,2025-08-07 18:47:52,9.022732,
39,2025-08-07 18:48:02,9.191772,
40,2025-08-07 18:48:13,8.993887,
41,2025-08-07 18:48:23,8.995790,
42,2025-08-07 18:48:33,8.959501,
43,2025-08-07 18:48:43,8.922177,
44,2025-08-07 18:48:53,8.855083,
45,2025-08-07 18:49:03,8.841942,
46,2025-08-07 18:49:13,8.810436,
47,2025-08-07 18:49:23,8.783499,
48,2025-08-07 18:49:33,8.753457,
49,2025-08-07 18:49:44,8.701248,
50,2025-08-07 18:49:55,8.688657,8.849942
51,2025-08-07 18:50:05,8.648569,
52,2025-08-07 18:50:15,8.622103,
53,2025-08-07 18:50:25,8.591208,
54,2025-08-07 18:50:35,8.517098,
55,2025-08-07 18:50:45,8.515232,
56,2025-08-07 18:50:55,8.462326,
57,2025-08-07 18:51:05,8.420928,
58,2025-08-07 18:51:15,8.399358,
59,2025-08-07 18:51:25,8.374365,
60,2025-08-07 18:51:36,8.346168,
61,2025-08-07 18:51:46,8.305773,
62,2025-08-07 18:51:56,8.257945,
63,2025-08-07 18:52:06,8.224968,
64,2025-08-07 18:52:16,8.194805,
65,2025-08-07 18:52:26,8.181580,
66,2025-08-07 18:52:36,8.169351,
67,2025-08-07 18:52:46,8.141277,
68,2025-08-07 18:52:56,8.083295,
69,2025-08-07 18:53:06,8.035480,
70,2025-08-07 18:53:16,7.979517,
71,2025-08-07 18:53:26,7.942724,
72,2025-08-07 18:53:36,7.914210,
73,2025-08-07 18:53:46,7.884143,
74,2025-08-07 18:53:57,7.841005,
75,2025-08-07 18:54:07,7.827691,
76,2025-08-07 18:54:18,7.799261,
77,2025-08-07 18:54:28,7.819037,
78,2025-08-07 18:54:37,7.772180,
79,2025-08-07 18:54:47,7.750326,
80,2025-08-07 18:54:58,7.726551,
81,2025-08-07 18:55:08,7.692549,
82,2025-08-07 18:55:18,7.675942,
83,2025-08-07 18:55:28,7.682245,
84,2025-08-07 18:55:38,7.652104,
85,2025-08-07 18:55:48,7.626999,
86,2025-08-07 18:55:59,7.666293,
87,2025-08-07 18:56:09,7.752500,
88,2025-08-07 18:56:19,7.697842,
89,2025-08-07 18:56:29,7.710896,
90,2025-08-07 18:56:39,7.704166,
91,2025-08-07 18:56:49,7.678674,
92,2025-08-07 18:56:59,7.749069,
93,2025-08-07 18:57:09,7.692248,
94,2025-08-07 18:57:19,7.700548,
95,2025-08-07 18:57:29,7.666454,
96,2025-08-07 18:57:39,7.755052,
97,2025-08-07 18:57:49,7.738876,
98,2025-08-07 18:58:00,7.648976,
99,2025-08-07 18:58:10,7.587350,
100,2025-08-07 18:58:21,7.446728,7.498132
101,2025-08-07 18:58:31,7.317502,
102,2025-08-07 18:58:41,7.235439,
103,2025-08-07 18:58:51,7.589677,
104,2025-08-07 18:59:01,7.603691,
105,2025-08-07 18:59:11,7.558876,
106,2025-08-07 18:59:21,7.572801,
107,2025-08-07 18:59:31,7.615573,
108,2025-08-07 18:59:41,7.576036,
109,2025-08-07 18:59:51,7.449104,
110,2025-08-07 19:00:01,7.357225,
111,2025-08-07 19:00:11,7.656002,
112,2025-08-07 19:00:21,7.522251,
113,2025-08-07 19:00:31,7.468599,
114,2025-08-07 19:00:41,7.403179,
115,2025-08-07 19:00:52,7.542618,
116,2025-08-07 19:01:02,7.495337,
117,2025-08-07 19:01:12,7.457972,
